FIPS,County,Lat,Long_,Population
36001,Albany,42.60060306,-73.97723916,305506
36003,Allegany,42.25748406,-78.02750466,46091
36005,Bronx,40.85209301,-73.86282755,1418207
36007,Broome,42.15903158,-75.81326086,190488
36009,Cattaraugus,42.24778241,-78.67923096,76117
36011,Cayuga,42.91261714,-76.55731592,76576
36013,Chautauqua,42.2276921,-79.36691763,126903
36015,Chemung,42.13891056,-76.7638805,83456
36017,Chenango,42.49430041,-75.60887553,47207
36019,Clinton,44.74530905,-73.67875352,80485
36021,Columbia,42.24819348,-73.63089095,59461
36023,Cortland,42.59509207,-76.07048931,47581
36025,Delaware,42.19837623,-74.96709306,44135
36027,Dutchess,41.7648606,-73.74356679,294218
36029,Erie,42.76249024,-78.73063652,918702
36031,Essex,44.11630765,-73.77297842,36885
36033,Franklin,44.59040891,-74.29926032,50022
36035,Fulton,43.11363907,-74.41798804,53383
36037,Genesee,43.0022601,-78.19135193,57280
36039,Greene,42.275797,-74.12384884,47188
36041,Hamilton,43.66146647,-74.49721957,4416
36043,Herkimer,43.42034246,-74.96145307,61319
36045,Jefferson,44.04200959,-75.94653457,109834
36047,Kings,40.6361825,-73.94935552,2559903
36049,Lewis,43.7844157,-75.44903992,26296
36051,Livingston,42.72596275,-77.77966158,62914
36053,Madison,42.91653905,-75.67266639,70941
36055,Monroe,43.14638895,-77.69322942,741770
36057,Montgomery,42.90123494,-74.44011632,49221
36059,Nassau,40.74066522,-73.58941873,1356924
36061,New York,40.7672726,-73.97152637,5803210
36063,Niagara,43.19898042,-78.74777412,209281
36065,Oneida,43.24375382,-75.43710392,228671
36067,Onondaga,43.00491923,-76.19971155,460528
36069,Ontario,42.85145728,-77.30874425,109777
36071,Orange,41.40337468,-74.30240757,384940
36073,Orleans,43.2516977,-78.2320066,40352
36075,Oswego,43.42778894,-76.14635194,117124
36077,Otsego,42.63492579,-75.03151402,59493
36079,Putnam,41.42630093,-73.74965532,98320
36081,Queens,40.71088124,-73.81684712,2253858
36083,Rensselaer,42.71348136,-73.51089874,158714
36085,Richmond,40.58582155,-74.14808598,476143
36087,Rockland,41.15027894,-74.02560498,325789
36089,St. Lawrence,44.4976179,-75.06550039,107740
36091,Saratoga,43.10904162,-73.86653895,229863
36093,Schenectady,42.81668777,-74.05278291,155299
36095,Schoharie,42.58831742,-74.4433903,30999
36097,Schuyler,42.39184015,-76.8773299,17807
36099,Seneca,42.78081007,-76.82497064,34016
36101,Steuben,42.2689144,-77.3829924,95379
36103,Suffolk,40.88320119,-72.8012172,1476601
36105,Sullivan,41.71579493,-74.76394559,75432
36107,Tioga,42.16852837,-76.30835812,48203
36109,Tompkins,42.44945765,-76.47229843,102180
36111,Ulster,41.89027881,-74.26252104,177573
36113,Warren,43.56173026,-73.8433699,63944
36115,Washington,43.31153794,-73.43043448,61204
36117,Wayne,43.15494365,-77.02976528,89918
36119,Westchester,41.16278376,-73.75741653,967506
36121,Wyoming,42.70145109,-78.22199579,39859
36123,Yates,42.63505484,-77.10369919,24913
80036,Out of NY,0,0,0
90036,Unassigned,0,0,0
